,mouse,day,x,y,w,h
0,1,1,688,485,141,123
1,1,2,705,478,137,117
2,1,3,715,500,144,110
3,1,4,657,487,234,112
4,1,5,587,374,257,238
5,1,6,619,434,129,106
6,1,7,619,440,131,104
7,1,8,623,437,122,100
8,1,9,606,422,136,106
9,1,10,599,392,141,123
10,1,11,613,427,139,116
11,1,12,631,442,135,122
12,1,13,645,468,124,108
13,1,14,623,444,133,106
14,1,15,628,459,145,114
15,1,16,624,446,122,106
16,1,17,639,461,127,103
17,1,18,645,464,126,110
18,1,19,641,465,134,110
19,1,20,672,500,131,104
20,1,21,647,470,129,107
21,1,22,641,473,137,110
22,1,23,639,470,137,107
23,1,24,654,465,131,116
24,1,25,644,470,142,110
25,1,26,652,475,117,100
26,1,27,648,470,128,107
27,1,28,645,479,130,94
28,1,29,,,,
29,1,30,,,,
30,2,1,629,460,142,108
31,2,2,643,458,145,105
32,2,3,644,457,134,108
33,2,4,639,449,147,116
34,2,5,639,443,142,113
35,2,6,633,432,142,120
36,2,7,623,421,162,132
37,2,8,632,441,162,127
38,2,9,645,445,152,121
39,2,10,653,461,151,114
40,2,11,678,482,145,115
41,2,12,647,450,156,124
42,2,13,657,469,160,119
43,2,14,643,458,140,109
44,2,15,655,463,158,123
45,2,16,659,473,162,126
46,2,17,657,469,154,120
47,2,18,688,492,165,134
48,2,19,670,482,148,120
49,2,20,668,470,155,118
50,2,21,671,474,139,127
51,2,22,673,480,144,112
52,2,23,656,472,164,136
53,2,24,676,478,145,121
54,2,25,678,482,134,110
55,2,26,676,480,138,113
56,2,27,,,,
57,2,28,,,,
58,2,29,,,,
59,2,30,,,,
60,2,31,,,,
61,2,32,,,,
62,2,33,,,,
63,2,34,,,,
